id,title,description,category,videoUrl,likes,dislikes,commentsCount,favorites,shares,saves,is_trending,new,views,thumbnail_link
video_1,Amazing Dance Performance,Incredible dance moves that will blow your mind,Dance,https://sample-videos.com/zip/10/mp4/360/SampleVideo_360x240_1mb.mp4,1250,45,89,234,67,12,TRUE,TRUE,15420,https://picsum.photos/360/640?random=1
video_2,Funny Cat Compilation,Cute cats doing hilarious things,Cats,https://sample-videos.com/zip/10/mp4/360/SampleVideo_360x240_2mb.mp4,892,23,156,445,123,34,FALSE,TRUE,8934,https://picsum.photos/360/640?random=2
video_3,Delicious Cooking Tutorial,How to make the perfect pasta,Cooking,https://sample-videos.com/zip/10/mp4/360/SampleVideo_360x240_5mb.mp4,567,12,78,234,45,8,TRUE,FALSE,4321,https://picsum.photos/360/640?random=3
video_4,Travel Vlog - Japan,Exploring Tokyo's hidden gems,Travel,https://sample-videos.com/zip/10/mp4/720/SampleVideo_720x480_1mb.mp4,2341,67,234,789,234,67,FALSE,FALSE,23456,https://picsum.photos/360/640?random=4
video_5,Motivational Speech,Words that inspire greatness,Motivation,https://sample-videos.com/zip/10/mp4/720/SampleVideo_720x480_2mb.mp4,4567,89,445,1234,567,123,TRUE,TRUE,45678,https://picsum.photos/360/640?random=5
video_6,Tech Review - Latest Gadgets,Reviewing the newest tech innovations,Technology,https://sample-videos.com/zip/10/mp4/720/SampleVideo_720x480_5mb.mp4,1234,34,167,567,234,45,FALSE,FALSE,12345,https://picsum.photos/360/640?random=6
video_7,Art Tutorial - Digital Painting,Creating stunning digital artwork,Art,https://sample-videos.com/zip/10/mp4/720/SampleVideo_720x480_10mb.mp4,891,23,134,445,167,34,TRUE,FALSE,8912,https://picsum.photos/360/640?random=7
video_8,Music Cover - Popular Song,Beautiful acoustic cover,Music,https://sample-videos.com/zip/10/mp4/720/SampleVideo_720x480_20mb.mp4,3456,78,345,1122,445,89,FALSE,TRUE,34567,https://picsum.photos/360/640?random=8
video_9,Fitness Workout Routine,Effective home workout exercises,Fitness,https://sample-videos.com/zip/10/mp4/720/SampleVideo_720x480_50mb.mp4,2345,45,223,789,334,67,TRUE,FALSE,23456,https://picsum.photos/360/640?random=9
video_10,Gaming Highlights,Amazing gaming moments,Gaming,https://sample-videos.com/zip/10/mp4/720/SampleVideo_720x480_100mb.mp4,5678,123,456,1789,667,145,FALSE,FALSE,56789,https://picsum.photos/360/640?random=10
